"dbn","district","school","_2010_2011_overall_grade","_2010_2011_overall_score","_2010_2011_progress_category_score","_2010_2011_progress_grade","school_level"
"02M600","2","The High School of Fashion Industries","A","85.2","43.5","A","High School"
"02M605","2","Humanities Preparatory Academy","B","59.8","34.6","B","Transfer High School"
"02M615","2","Chelsea Career and Technical Education High School","B","58.8","41.5","B","High School"
"02M625","2","High School of Graphic Communication Arts","F","36.3","25.5","D","High School"
"02M630","2","Art and Design High School","B","66.6","34.7","C","High School"
"02M655","2","Life Sciences Secondary School","C","35.5","22.2","C","Middle"
"05M161","5","P.S. 161 Pedro Albizu Campos","B","46.4","23.1","C","K-8"
"02M655","2","Life Sciences Secondary School","B","61.9","31.8","C","High School"
"02M896","2","Lower Manhattan Community Middle School","B","50.4","24.2","C","Middle"
"03M009","3","P.S. 009 Sarah Anderson","A","59.4","30.8","B","Elementary"
"03M054","3","J.H.S. 054 Booker T. Washington","B","55.9","31.1","B","Middle"
"03M075","3","P.S. 075 Emily Dickinson","C","34.7","20.9","C","Elementary"
"03M076","3","P.S. 076 A. Philip Randolph","B","48.8","26.6","B","K-8"
"03M084","3","P.S. 084 Lillian Weber","F","14.3","8.2","F","Elementary"
"03M087","3","P.S. 087 William Sherman","B","45.0","23.9","C","Elementary"
"03M145","3","P.S. 145, The Bloomingdale School","C","36.3","24.6","B","Elementary"
"03M149","3","P.S. 149 Sojourner Truth","C","29.7","21.4","C","K-8"
"03M163","3","P.S. 163 Alfred E. Smith","C","27.1","9.8","F","Elementary"
"03M165","3","P.S. 165 Robert E. Simon","A","71.6","46.0","A","K-8"
"03M166","3","P.S. 166 The Richard Rodgers School of The Arts an","B","41.0","24.0","C","Elementary"
"03M180","3","P.S. 180 Hugo Newman","B","47.3","26.1","B","K-8"
"03M185","3","P.S. 185 John M. Langston","C","20.2","6.9","C","K-2"
"03M191","3","P.S. 191 Amsterdam","C","31.7","18.8","C","K-8"
"03M199","3","P.S. 199 Jessie Isador Straus","A","62.6","36.5","A","Elementary"
"03M208","3","P.S. 208 Alain L. Locke","D","19.2","7.8","F","Elementary"
"03M241","3","P.S. 241 Family Academy","B","50.2","31.2","B","K-8"
"03M242","3","PS M242-Gwendolyn Powell Brown Computer School","B","56.3","40.9","A","Elementary"
"03M243","3","M.S. 243 Center School","B","42.4","13.6","D","Middle"
"03M245","3","M.S. M245 The Computer School","B","48.6","20.3","C","Middle"
"03M247","3","M.S. M247 Dual Language Middle School","A","79.2","42.7","A","Middle"
"03M250","3","M.S. 250 West Side Collaborative Middle School","B","45.6","19.1","C","Middle"
"03M256","3","M.S. 256 Academic & Athletic Excellence","B","50.8","33.4","B","Middle"
"03M258","3","Community Action School - MS 258","A","66.9","34.7","B","Middle"
"03M283","3","Manhattan Theatre Lab High School","F","36.4","22.5","F","High School"
"03M299","3","High School for Arts, Imagination and Inquiry","C","47.3","29.1","C","High School"
"03M307","3","Urban Assembly School for Media Studies, The","A","89.0","49.9","A","High School"
"03M333","3","P.S. 333 Manhattan School for Children","B","41.6","22.0","C","K-8"
"03M334","3","The Anderson School","A","85.1","49.8","A","K-8"
"03M415","3","Wadleigh Secondary School for the Performing & Vis","D","16.3","8.0","F","Middle"
"03M415","3","Wadleigh Secondary School for the Performing & Visual Arts","D","44.6","21.2","F","High School"
"03M421","3","WEST PREP ACADEMY","C","36.7","24.1","C","Middle"
"03M479","3","Beacon High School","A","77.3","49.6","A","High School"
"03M485","3","Fiorello H. LaGuardia High School of Music & Art and Performing Arts","A","72.0","41.9","B","High School"
"03M492","3","High School for Law, Advocacy and Community Justice","A","79.2","42.1","A","High School"
"03M494","3","High School of Arts and Technology","C","50.5","27.0","D","High School"
"03M505","3","Edward A. Reynolds West Side High School","C","52.6","31.7","C","Transfer High School"
"03M541","3","Manhattan / Hunter Science High School","B","63.7","39.3","B","High School"
"03M859","3","Special Music School","A","82.0","51.0","A","K-8"
"03M860","3","Frederick Douglass Academy II Secondary School","F","13.9","8.3","F","Middle"
"03M860","3","Frederick Douglass Academy II Secondary School","C","56.6","33.4","C","High School"
"03M862","3","Mott Hall II","A","78.7","42.6","A","Middle"
"04M007","4","P.S. 007 Samuel Stern","C","34.4","20.8","C","K-8"
"04M012","4","Tag Young Scholars","B","56.4","25.3","B","K-8"
"04M013","4","J.H.S. 013 Jackie Robinson","C","32.2","21.5","C","Middle"
"04M037","4","River East Elementary","C","37.4","16.4","C","Elementary"
"04M038","4","P.S. 38 Roberto Clemente","B","46.3","34.4","A","Elementary"
"04M045","4","M.S. 45/S.T.A.R.S. Prep Academy","C","33.7","24.4","C","Middle"
"04M050","4","P.S. 050 Vito Marcantonio","C","32.5","23.9","C","K-8"
"04M057","4","James Weldon Johnson","A","72.4","33.6","B","K-8"
"04M072","4","The Lexington Academy","D","20.9","2.7","F","Elementary"
"04M083","4","P.S. 083 Luis Munoz Rivera","A","77.8","44.8","A","Elementary"
"04M096","4","P.S. 096 Joseph Lanzetta","B","46.2","33.1","B","K-8"
"04M102","4","P.S. 102 Jacques Cartier","B","45.1","22.7","C","Elementary"
"04M108","4","P.S. 108 Assemblyman Angelo Del Toro Educational C","A","77.2","44.3","A","K-8"
"04M112","4","P.S. 112 Jose Celso Barbosa","A","43.9","15.2","B","K-2"
"04M146","4","P.S. 146 Ann M. Short","A","57.7","42.3","A","Elementary"
"04M155","4","P.S. 155 William Paca","B","44.5","27.7","B","Elementary"
"04M171","4","P.S. 171 Patrick Henry","B","54.6","23.5","C","K-8"
"04M182","4","The Bilingual Bicultural School","B","41.6","18.3","C","Elementary"
"04M206","4","P.S. 206 Jose Celso Barbosa","D","24.9","3.9","F","Elementary"
"04M224","4","M.S. 224 Manhattan East School for Arts & Academic","C","29.6","15.3","C","Middle"
"04M372","4","ESPERANZA PREPARATORY ACADEMY","A","69.9","39.8","A","Middle"
"04M375","4","Mosaic Preparatory Academy","D","18.5","5.9","F","Elementary"
"04M377","4","Renaissance School of the Arts","D","20.4","5.3","F","Middle"
"04M381","4","Global Neighborhood Secondary School","B","43.4","28.6","B","Middle"
"04M406","4","GLOBAL TECHNOLOGY PREPARATORY","A","75.1","40.6","A","Middle"
"04M409","4","Coalition School for Social Change","C","52.4","31.2","C","High School"
"04M435","4","Manhattan Center for Science and Mathematics","A","70.8","37.0","B","High School"
"04M495","4","Park East High School","A","72.5","39.7","B","High School"
"04M497","4","Central Park East I","C","31.3","13.7","D","Elementary"
"04M555","4","Central Park East High School","A","71.5","43.3","A","High School"
"04M610","4","Young Women's Leadership School","B","41.5","20.6","C","Middle"
"04M610","4","Young Women's Leadership School","A","75.2","41.6","B","High School"
"04M680","4","Heritage School, The","B","62.1","37.6","B","High School"
"04M825","4","Isaac Newton Middle School for Math & Science","D","22.8","8.6","D","Middle"
"04M964","4","Central Park East II","A","65.0","41.7","A","Elementary"
"05M030","5","P.S. 030 Hernandez/Hughes","D","19.5","12.7","D","Elementary"
"05M036","5","P.S. 036 Margaret Douglas","C","34.8","22.9","C","Elementary"
"05M046","5","P.S. 046 Arthur Tappan","B","43.9","25.1","B","K-8"
"05M092","5","P.S. 092 Mary McLeod Bethune","B","42.9","25.9","B","Elementary"
"05M123","5","P.S. 123 Mahalia Jackson","D","24.3","15.7","C","K-8"
"05M125","5","P.S. 125 Ralph Bunche","C","31.6","23.0","C","Elementary"
"05M129","5","P.S. 129 John H. Finley","C","39.2","22.8","C","K-8"
"05M133","5","P.S. 133 Fred R Moore","C","31.5","22.4","C","Elementary"
"05M154","5","P.S. 154 Harriet Tubman","D","25.6","13.1","D","Elementary"
"05M175","5","P.S. 175 Henry H Garnet","B","44.4","31.2","B","Elementary"
"05M194","5","P.S. 194 Countee Cullen","D","19.5","16.0","C","Elementary"
"05M197","5","P.S. 197 John B. Russwurm","F","11.9","0.0","F","Elementary"
"05M200","5","P.S. 200- The James Mccune Smith School","C","28.8","16.1","C","Elementary"
"05M285","5","Harlem Renaissance High School","B","61.0","36.6","B","Transfer High School"
"05M286","5","I.S. M286 Renaissance Military Leadership Academy","C","37.9","19.4","C","Middle"
"05M302","5","KAPPA IV","A","59.6","34.7","B","Middle"
"05M304","5","Mott Hall High School","B","61.2","34.6","C","High School"
"05M318","5","Thurgood Marshall Academy Lower School","B","52.8","34.7","A","Elementary"
"05M362","5","Columbia Secondary School","A","60.0","35.0","A","Middle"
"05M367","5","Academy for Social Action: A College Board School","D","17.7","7.8","F","Middle"
"05M367","5","Academy for Social Action: A College Board School","C","53.9","29.4","C","High School"
"05M369","5","Urban Assembly School for the Performing Arts","D","45.6","29.4","C","High School"
"05M410","5","THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES","B","45.9","31.3","B","Middle"
"05M469","5","Choir Academy of Harlem","B","51.8","34.3","B","Middle"
"05M469","5","Choir Academy of Harlem","C","52.4","32.3","C","High School"
"05M499","5","Frederick Douglass Academy","B","47.6","28.0","B","Middle"
"05M499","5","Frederick Douglass Academy","C","40.6","16.1","F","High School"
"05M670","5","Thurgood Marshall Academy for Learning and Social","D","17.0","2.0","F","Middle"
"05M670","5","Thurgood Marshall Academy for Learning and Social Change","A","71.1","41.3","B","High School"
"05M685","5","Bread & Roses Integrated Arts High School","D","40.5","20.7","F","High School"
"05M692","5","High School for Mathematics, Science and Engineering at City College","A","72.3","41.2","B","High School"
"06M004","6","P.S. 004 Duke Ellington","B","50.0","33.2","B","Elementary"
"06M005","6","P.S. 005 Ellen Lurie","C","39.5","24.4","B","Elementary"
"06M008","6","P.S. 008 Luis Belliard","B","50.6","30.8","B","Elementary"
"06M018","6","P.S. 018 Park Terrace","A","57.1","32.9","B","K-8"
"06M028","6","P.S. 028 Wright Brothers","B","52.5","30.9","B","Elementary"
"06M048","6","P.S. 048 P.O. Michael J. Buczek","A","74.0","44.4","A","Elementary"
"06M052","6","J.H.S. 052 Inwood","B","48.8","28.6","B","Middle"
"06M098","6","P.S. 098 Shorac Kappock","C","34.6","20.9","C","Elementary"
"06M115","6","P.S. 115 Alexander Humboldt","C","29.0","19.0","C","Elementary"
"06M128","6","P.S. 128 Audubon","B","43.0","23.3","C","Elementary"
"06M132","6","P.S. 132 Juan Pablo Duarte","D","22.8","8.0","F","Elementary"
"06M143","6","J.H.S. 143 Eleanor Roosevelt","B","53.2","34.7","B","Middle"
"06M152","6","P.S. 152 Dyckman Valley","C","31.3","21.0","C","Elementary"
"06M153","6","P.S. 153 Adam Clayton Powell","A","68.2","40.1","A","Elementary"
"06M173","6","P.S. 173","B","51.8","35.0","A","Elementary"
"06M178","6","Professor Juan Bosch Public School","B","29.9","8.5","C","K-2"
"06M187","6","P.S./I.S. 187 Hudson Cliffs","B","47.6","28.6","B","K-8"
"06M189","6","P.S. 189","A","57.8","33.0","B","Elementary"
"06M192","6","P.S. 192 Jacob H. Schiff","B","46.1","27.4","B","Elementary"
"06M210","6","P.S./I.S. 210 - Twenty-first Century Academy for","C","32.1","10.9","D","K-8"
"06M218","6","I.S. 218 Salome Urena","C","40.1","25.1","B","Middle"
"06M223","6","The Mott Hall School","B","57.6","32.7","B","Middle"
"06M278","6","Paula Hedbavny School","A","73.4","44.2","A","K-8"
"06M293","6","City College Academy of the Arts","A","76.7","41.5","A","Middle"
"06M311","6","Amistad Dual Language School","A","60.3","32.1","B","K-8"
"06M314","6","Muscota","C","37.5","22.0","C","Elementary"
"06M319","6","M.S. 319 - Maria Teresa","A","65.4","36.7","A","Middle"
"06M322","6","Middle School 322","C","33.0","18.3","C","Middle"
"06M324","6","M.S. 324 - Patria Mirabal","A","79.4","44.2","A","Middle"
"06M325","6","P.S. 325","C","32.2","16.9","C","Elementary"
"06M326","6","M.S. 326 - Writers Today & Leaders Tomorrow","A","67.8","42.0","A","Middle"
"06M328","6","M.S. 328 - Manhattan Middle School for Scientific","B","45.3","26.2","B","Middle"
"06M346","6","Community Health Academy of the Heights","C","38.9","27.1","B","Middle"
"06M348","6","Washington Heights Expeditionary Learning School","A","63.5","36.5","A","Middle"
"06M349","6","Harbor Heights","A","71.7","47.4","A","Middle"
"06M366","6","Washington Heights Academy","B","41.5","29.1","B","Elementary"
"06M368","6","Hamilton Heights School","A","58.6","39.6","A","Elementary"
"06M457","6","George Washington Yabc","A","99.5","51.2","A","YABC"
"06M462","6","High School for International Business and Finance","C","49.0","22.5","F","High School"
"06M463","6","High School for Media and Communications","C","54.2","32.9","C","High School"
"06M467","6","High School for Law and Public Service","A","70.1","36.5","B","High School"
"06M468","6","High School for Health Careers and Sciences","D","44.1","22.9","F","High School"
"06M528","6","I.S. 528 Bea Fuller Rodgers School","D","23.4","9.2","D","Middle"
"06M540","6","A. Philip Randolph Campus High School","C","47.3","24.4","D","High School"
"06M552","6","Gregorio Luperon High School for Science and Mathematics","A","71.4","42.3","A","High School"
"07X001","7","P.S. 001 Courtlandt School","D","20.7","11.0","D","Elementary"
"07X005","7","P.S. 005 Port Morris","B","48.8","27.0","B","Elementary"
"07X018","7","P.S. 018 John Peter Zenger","A","57.3","41.3","A","Elementary"
"07X025","7","P.S. 025 Bilingual School","B","49.3","25.7","B","Elementary"
"07X029","7","P.S./M.S. 029 Melrose School","D","21.1","11.3","D","K-8"
"07X030","7","P.S. 030 Wilton","A","68.4","47.4","A","Elementary"
"07X031","7","P.S./M.S. 031 The William Lloyd Garrison","C","38.1","23.0","C","K-8"
"07X043","7","P.S. 043 Jonas Bronck","A","56.7","34.4","A","Elementary"
"07X049","7","P.S. 049 Willis Avenue","B","45.1","25.6","B","Elementary"
"07X065","7","P.S. 065 Mother Hale Academy","B","41.2","29.2","B","Elementary"
"07X151","7","J.H.S. 151 Lou Gehrig","A","62.2","37.1","A","Middle"
"07X154","7","P.S. 154 Jonathan D. Hyatt","C","30.5","20.0","C","Elementary"
"07X157","7","P.S. 157 Grove Hill","C","35.6","19.2","C","Elementary"
"07X161","7","P.S. 161 Ponce De Leon","B","43.2","29.5","B","Elementary"
"07X162","7","J.H.S. 162 Lola Rodriguez De Tio","C","27.1","17.2","C","Middle"
"07X179","7","P.S. 179","F","13.4","0.1","F","Elementary"
"07X203","7","M.S. 203","C","23.8","16.6","C","Middle"
"07X221","7","South Bronx Preparatory: A College Board School","C","34.3","20.6","C","Middle"
"07X221","7","South Bronx Preparatory: A College Board School","A","78.5","42.2","A","High School"
"08X152","8","P.S. 152 Evergreen","A","62.3","36.7","A","Elementary"
"07X223","7","M.S. 223 The Laboratory School of Finance and Tech","B","50.7","28.0","B","Middle"
"07X224","7","P.S. / I.S. 224","D","20.1","15.0","C","Middle"
"07X277","7","P.S. 277","F","15.7","5.0","F","Elementary"
"07X296","7","South Bronx Academy for Applied Media","A","59.8","35.1","A","Middle"
"07X298","7","Academy of Public Relations","A","61.9","42.8","A","Middle"
"07X321","7","Crotona Academy High School","C","52.5","28.6","C","Transfer High School"
"07X334","7","International Community High School","A","75.5","44.6","A","High School"
"07X343","7","Academy of Applied Mathematics and Technology","A","60.8","32.9","B","Middle"
"07X369","7","Young Leaders Elementary School","D","20.7","11.8","D","Elementary"
"07X379","7","Jill Chaifetz Transfer High School","C","52.6","28.1","C","Transfer High School"
"07X381","7","Bronx Haven High School","C","48.4","23.7","D","Transfer High School"
"07X385","7","Performance School","C","26.8","20.2","C","Elementary"
"07X427","7","Community School for Social Justice","C","54.9","30.3","C","High School"
"07X456","7","Alfred E. Smith Campus YABC","A","82.9","42.4","B","YABC"
"07X473","7","Mott Haven Village Preparatory High School","B","58.0","35.2","B","High School"
"07X495","7","University Heights Secondary School","A","70.1","43.3","A","High School"
"07X500","7","Hostos-Lincoln Academy of Science","C","34.2","17.5","C","Middle"
"07X500","7","Hostos-Lincoln Academy of Science","B","59.0","29.1","C","High School"
"07X520","7","Foreign Language Academy of Global Studies","C","51.1","28.0","D","High School"
